,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
32,20-367&L                 --20-Winton Road,0,0.00,0.00,0,0.00,0.00,20,224.91,14.83
33,21-348&L                 --21-Westwood - Harrison Avenu,22,224.44,18.87,0,0.00,0.00,0,0.00,0.00
34,21-362&L                 --21-Westwood - Harrison Avenu,0,0.00,0.00,22,224.63,18.87,0,0.00,0.00
35,21-367&L                 --21-Westwood - Harrison Avenu,0,0.00,0.00,0,0.00,0.00,22,224.63,18.87
36,22-362&L                 --22-Crosstown: Glenway - Madi,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
37,22-367&L                 --22-Crosstown: Glenway - Madi,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
38,22X&T                    --22X-Mt. Zion Rd Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
39,23X-349&E                --23X-Tri - County - Forest Pa,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
40,23X-363&E                --23X-Tri - County - Forest Pa,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
41,24&T                     --NKU Shuttle-NKU Shuttle,18,43.19,3.60,18,43.19,3.60,18,43.19,3.60
42,24-348&L                 --24-MLK / Beechmont,15,232.83,14.00,0,0.00,0.00,0,0.00,0.00
43,24-362&L                 --24-Beechmont - MLK,0,0.00,0.00,23,349.55,17.18,0,0.00,0.00
44,24-367&L                 --24-Beechmont - MLK,0,0.00,0.00,0,0.00,0.00,23,349.55,17.18
45,25&T                     --25-NKU/Alexandria,20,251.35,15.67,20,251.35,15.67,20,251.35,15.67
46,25-348&L                 --25-Mt Lookout - Hyde Park -,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
47,25-362&L                 --25-Mt Lookout - Hyde Park -,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,25-367&L                 --25-Mt Lookout - Hyde Park -,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
49,25X&T                    --25X-Alexandria Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
50,27-348&L                 --27-Northside - Casey,14,122.06,9.82,0,0.00,0.00,0,0.00,0.00
51,27-362&L                 --27-Northside - Casey,0,0.00,0.00,14,122.96,9.82,0,0.00,0.00
52,27-367&L                 --27-Beekman - Ivorydale,0,0.00,0.00,0,0.00,0.00,21,247.75,19.42
53,28-348&L                 --28-Madisonville - East End,8,79.64,4.18,0,0.00,0.00,0,0.00,0.00
54,28-362&L                 --28-Madisonville - East End,0,0.00,0.00,8,79.64,4.18,0,0.00,0.00
55,28-367&L                 --28-Madisonville - East End,0,0.00,0.00,0,0.00,0.00,8,79.64,4.18
56,29X-349&E                --29X-Milford Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
57,29X-363&E                --29X-Milford Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
58,2X&T                     --2X-Airporter,20,242.86,12.50,20,242.86,12.50,20,242.86,12.50
59,3&T                      --3-Ludlow/Bromley,9,44.82,3.75,9,44.82,3.75,9,44.82,3.75
60,30-348&L                 --30-Beechmont - 8 Mile - Comm,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
61,30-362&L                 --30-Beechmont - 8 Mile - Comm,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,30-367&L                 --30-Beechmont - 8 Mile - Comm,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
63,30X&T                    --30X-Fort Wright/Lake Park Dr,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,31-348&L                 --31-Crosstown: West End - Eva,29,262.42,21.28,0,0.00,0.00,0,0.00,0.00
65,31-362&L                 --31-Crosstown: West End - Eva,0,0.00,0.00,29,262.42,21.28,0,0.00,0.00
66,31-367&L                 --31-Crosstown: West End - Eva,0,0.00,0.00,0,0.00,0.00,29,262.42,21.28
67,32-348&L                 --32-Price Hill - Delhi - Sayl,20,250.58,16.68,0,0.00,0.00,0,0.00,0.00
68,32-362&L                 --32-Price Hill - Delhi - Sayl,0,0.00,0.00,20,250.58,16.68,0,0.00,0.00
69,32-367&L                 --32-Price Hill - Delhi - Sayl,0,0.00,0.00,0,0.00,0.00,20,250.58,16.68
70,32X&T                    --32X-Burlington Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
71,33-348&L                 --33-Glenway Avenue,33,284.31,27.68,0,0.00,0.00,0,0.00,0.00
72,33-362&L                 --33-Glenway Avenue,0,0.00,0.00,33,285.17,27.80,0,0.00,0.00
73,33-367&L                 --33-Glenway Avenue,0,0.00,0.00,0,0.00,0.00,33,285.17,27.80
74,352&T                    --Holmes HS #3 PM-Holmes #3 PM,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
75,36-362&L                 --36-Crosstown: Price Hill - U,0,0.00,0.00,21,281.16,22.24,0,0.00,0.00
76,36-367&L                 --36-Crosstown: Price Hill - U,0,0.00,0.00,0,0.00,0.00,21,281.16,22.24
77,37-348&L                 --37-Crosstown: Glenway - MLK,1,15.62,1.05,0,0.00,0.00,0,0.00,0.00
78,37-362&L                 --37-Westwood Northern - Madis,0,0.00,0.00,27,422.24,29.45,0,0.00,0.00
79,37-367&L                 --37-Westwood Northern - Madis,0,0.00,0.00,0,0.00,0.00,27,422.24,29.45
80,3701&T                   --Southbank Shuttle-Southbank,38,155.92,18.37,38,155.92,18.37,38,155.92,18.37
81,38-348&L                 --38-Glenway Crossing- Uptown,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
82,38-362&L                 --38-Glenway Crossing- Uptown,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
83,38-367&L                 --38-Glenway Crossing- Uptown,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
84,39X&T                    --39X-Petersburg Rd/South Hebr,1,12.34,0.53,1,12.34,0.53,1,12.34,0.53
85,3X-349&E                 --3X-Montgomery Express - Job,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
86,3X-363&E                 --3X-Montgomery Express - Job,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
87,4-348&L                  --4-Montgomery Rd,33,493.02,38.47,0,0.00,0.00,0,0.00,0.00
88,4-362&L                  --4-Montgomery Rd,0,0.00,0.00,33,493.02,38.42,0,0.00,0.00
89,4-367&L                  --4-Montgomery Rd,0,0.00,0.00,0,0.00,0.00,33,493.02,38.42
90,40-348&L                 --40-Montana Avenue - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
91,40-362&L                 --40-Montana Avenue - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
92,40-367&L                 --40-Montana Avenue - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
93,40X&T                    --40X-Worldwide Blvd/North Heb,1,12.81,0.65,1,12.81,0.65,1,12.81,0.65
94,41-348&L                 --41-Crosstown: Westwood - Oak,11,215.26,13.25,0,0.00,0.00,0,0.00,0.00
95,41-362&L                 --41-Crosstown: Westwood - Oak,0,0.00,0.00,11,215.26,13.25,0,0.00,0.00
96,41-367&L                 --41-Crosstown: Westwood - Oak,0,0.00,0.00,0,0.00,0.00,11,215.26,13.25
97,412&T                    --Newport HS #2 AM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
98,42X&T                    --42X-Florence Hub/Industrial,10,162.89,7.33,10,162.89,7.33,10,162.89,7.33
99,42X-350&C                --42X-West Chester Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
100,43-348&L                 --43-Reading Road,44,651.44,46.98,0,0.00,0.00,0,0.00,0.00
101,43-362&L                 --43-Reading - Paddock - Wayne,0,0.00,0.00,22,338.20,27.87,0,0.00,0.00
102,43-367&L                 --43-Reading - Paddock - Wayne,0,0.00,0.00,0,0.00,0.00,22,338.20,27.87
103,44-362&L                 --44-Upper Reading Road,0,0.00,0.00,20,225.58,15.00,0,0.00,0.00
104,44-367&L                 --44-Upper Reading Road,0,0.00,0.00,0,0.00,0.00,20,225.57,15.00
105,450&T                    --Holmes HS #2 PM-Holmes HS #2,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
106,451&T                    --Holmes HS #2 AM-Holmes HS #2,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
107,46-348&L                 --46-Avondale - Winton Hills,21,270.46,22.42,0,0.00,0.00,0,0.00,0.00
108,46-362&L                 --46-Uptown - Winton Terrace,0,0.00,0.00,22,255.97,22.74,0,0.00,0.00
109,46-367&L                 --46-Uptown - Winton Terrace,0,0.00,0.00,0,0.00,0.00,22,255.97,22.74
110,47-362&L                 --47-Mitchell Avenue,0,0.00,0.00,20,188.70,14.00,0,0.00,0.00
111,47-367&L                 --47-Mitchell Avenue,0,0.00,0.00,0,0.00,0.00,20,188.70,14.00
112,485&T                    --Holmes HS #5 PM-Holmes HS #5,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
113,49-348&L                 --49-Fairmount - English Woods,14,88.63,7.47,0,0.00,0.00,0,0.00,0.00
114,49-362&L                 --49-Fairmount - English Woods,0,0.00,0.00,14,89.53,7.47,0,0.00,0.00
115,49-367&L                 --49-Fairmount - English Woods,0,0.00,0.00,0,0.00,0.00,14,89.53,7.47
116,5&T                      --5-Holman Ave/Fort Wright,10,95.22,8.33,10,95.22,8.33,10,95.22,8.33
117,5-348&L                  --5-Crosstown: Oakley - Sharon,21,289.01,18.05,0,0.00,0.00,0,0.00,0.00
118,5-362&L                  --5-Crosstown: Oakley - Sharon,0,0.00,0.00,17,230.06,15.47,0,0.00,0.00
119,5-367&L                  --5-Crosstown: Oakley - Sharon,0,0.00,0.00,0,0.00,0.00,17,230.06,15.47
120,50-348&L                 --50-River Road - Sayler Park,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
121,50-362&L                 --50-River Road - Sayler Park,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
122,50-367&L                 --50-River Road - Sayler Park,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
123,51-348&L                 --51-Crosstown: Glenway - Hyde,24,424.44,34.43,0,0.00,0.00,0,0.00,0.00
124,51-362&L                 --51-Crosstown: Glenway - Hyde,0,0.00,0.00,24,424.30,34.43,0,0.00,0.00
125,51-367&L                 --51-Crosstown: Glenway - Hyde,0,0.00,0.00,0,0.00,0.00,24,424.30,34.43
126,511&T                    --Newport HS #1 PM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
127,512&T                    --Newport HS #2 PM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
128,52X-349&E                --52X-Harrison Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
129,52X-363&E                --52X-Harrison Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
130,552&T                    --Holmes HS #1 AM-Holmes HS #1,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
131,553&T                    --Holmes HS #6 PM-Holmes HS #6,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
132,554&T                    --Holmes HS #5 AM-Holmes HS #5,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
133,6-348&L                  --6-Queen City - Westwood,27,215.61,16.30,0,0.00,0.00,0,0.00,0.00
134,6-362&L                  --6-Queen City - Westwood,0,0.00,0.00,27,215.61,16.30,0,0.00,0.00
135,6-367&L                  --6-Queen City - Westwood,0,0.00,0.00,0,0.00,0.00,27,215.61,16.30
136,61&T                     --61-Covington Health Connecti,16,26.37,2.67,16,26.37,2.67,16,26.37,2.67
137,61-362&L                 --61-Galbraith Road,0,0.00,0.00,22,355.98,24.60,0,0.00,0.00
138,61-367&L                 --61-Galbraith Road,0,0.00,0.00,0,0.00,0.00,22,355.98,24.60
139,64-348&L                 --64-Glenway Crossing - Westwo,19,226.05,19.10,0,0.00,0.00,0,0.00,0.00
140,64-362&L                 --64-Glenway Crossing - Westwo,0,0.00,0.00,19,226.05,19.10,0,0.00,0.00
141,64-367&L                 --64-Glenway Crossing - Westwo,0,0.00,0.00,0,0.00,0.00,19,226.05,19.10
142,65-348&L                 --65-Crosstown: Western Hills-,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
143,65-362&L                 --65-Crosstown: Western Hills-,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
144,65-367&L                 --65-Crosstown: Western Hills-,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
145,652&T                    --Holmes HS #8 AM-Holmes HS #8,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
146,67-348&L                 --67-Crosstown: Forest Park -,20,340.57,19.00,0,0.00,0.00,0,0.00,0.00
147,67-362&L                 --67-Crosstown: Forest Park -,0,0.00,0.00,20,337.28,19.00,0,0.00,0.00
148,67-367&L                 --67-Crosstown: Forest Park -,0,0.00,0.00,0,0.00,0.00,20,337.28,19.00
149,7&T                      --7-Madison Ave/Latonia,9,55.00,5.55,9,55.00,5.55,9,55.00,5.55
150,71X-350&C                --71X-Kings Island Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
151,71X-364&C                --71X-Kings Island Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
152,72-349&E                 --72-Kings Island Direct,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
153,74X-349&E                --74X-Colerain Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
154,74X-363&E                --74X-Colerain Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
155,751&T                    --Holmes HS #7 PM-Holmes HS #7,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
156,752&T                    --Holmes HS #9 PM-Holmes HS #9,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
157,75X-349&E                --75X-Anderson Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
158,75X-363&E                --75X-Anderson Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
159,77-348&L                 --77-Delhi - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
160,77-362&L                 --77-Delhi - Sayler Park,0,0.00,0.00,20,284.35,12.50,0,0.00,0.00
161,77-367&L                 --77-Delhi - Sayler Park,0,0.00,0.00,0,0.00,0.00,20,284.35,12.50
162,78-348&L                 --78-Springdale Vine - Lincoln,33,555.42,41.72,0,0.00,0.00,0,0.00,0.00
163,78-362&L                 --78-Vine Street,0,0.00,0.00,23,362.89,27.45,0,0.00,0.00
164,78-367&L                 --78-Vine Street,0,0.00,0.00,0,0.00,0.00,23,362.89,27.45
165,8&T                      --8-Eastern Ave/Crestview Hill,10,126.62,10.83,10,126.62,10.83,10,126.62,10.83
166,81-348&L                 --81-Mt. Washington - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
167,81-362&L                 --81-Mt. Washington - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
168,81-367&L                 --81-Mt. Washington - Commuter,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
169,82X-350&C                --82X-Eastgate Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
170,82X-364&C                --82X-Eastgate Express,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
171,851&T                    --Holmes HS #4 PM-Holmes HS #4,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
172,888&T                    --KCJ-Kenton County Jail,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
173,BRTH-367&L               --BRTH-Hamilton Avenue BRT,0,0.00,0.00,0,0.00,0.00,63,766.22,55.95
174,BRTR-362&L               --BRTR-Reading Road BRT,0,0.00,0.00,58,488.07,31.90,0,0.00,0.00
175,BRTR-367&L               --BRTR-Reading Road BRT,0,0.00,0.00,0,0.00,0.00,58,488.07,31.90
176,M+-348&L                 --M+-MetroPlus,21,266.75,23.08,0,0.00,0.00,0,0.00,0.00
177,Total    812      9227.49       701.56    951     10728,.14,794.71   1,036     11019,.62,807.91,,,,
