,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
0,Downt,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14
1,Downt,0,3,0,0,0,0,0,0,0,16,0,2,0,0,32,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,14,0,0,0,0,0,0,99
2,West,0,0,1,0,0,0,0,0,0,5,9,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,66
3,Lower,1,0,0,2,0,0,0,0,0,1,4,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,28
4,MtAub,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,24
5,Corry,0,0,0,0,0,0,0,0,0,0,32,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,56
6,UCMed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,9
7,MtAda,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,9
8,Walnu,0,0,0,1,0,0,0,0,0,31,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,43
9,Clift,60,34,3,11,9,24,7,2,27,30,44,6,1,0,19,0,5,0,13,0,2,0,2,0,0,1,0,0,0,0,10,1,1,0,0,192,0,1,1,1,7,0,516
10,North,116,337,4,4,14,118,37,2,7,148,2,9,0,1,1,15,7,0,23,0,1,0,1,0,0,1,0,0,0,0,4,26,13,6,3,110,0,2,1,0,7,0,1024
11,Winto,8,9,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,0,1,5,0,3,0,64
12,BondH,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,58
13,Xavie,0,2,0,0,0,0,0,0,0,5,2,0,0,0,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30
14,Finne,177,168,1,2,18,12,17,4,9,32,10,57,0,3,3,52,16,0,113,0,0,0,0,0,1,13,0,0,0,0,4,4,18,3,9,86,0,9,2,12,10,0,867
15,Colle,225,80,2,0,13,26,15,0,16,71,179,13,1,7,10,6,13,0,13,1,3,0,0,0,1,9,0,0,0,0,7,43,28,7,1,79,0,1,10,3,11,0,893
16,Amber,2,6,1,1,1,0,0,0,0,1,6,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2,7,0,0,0,0,1,0,53
17,Wethe,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
18,Green,71,35,4,4,4,5,10,1,7,2,15,13,6,0,7,15,4,1,42,0,0,0,3,0,3,5,0,0,1,0,8,19,19,2,9,28,0,3,0,1,7,0,351
19,Bethe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
