"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.03",,,,,,,,,,
"***** PEAK TRIPS, MILES AND HOURS BY ROUTE ************",,,,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"PEAK=any trip serving one or more stops between 5:00 am",,"and 9:","5 am",,,,,,,
,,"Y2023","XISTING",,"Y2045","O-BUILD",,"Y2045","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"1&T","1-Dixie Hwy/Florence","22","329.57","25.30","22","329.57","25.30","22","329.57","25.30"
"1-348&L","1-Mt. Adams - Eden Park","9","30.01","2.62","0","0.00","0.00","0","0.00","0.00"
"1-362&L","1-Mt. Adams - Eden Park","0","0.00","0.00","9","30.01","2.62","0","0.00","0.00"
"1-367&L","1-Mt. Adams - Eden Park","0","0.00","0.00","0","0.00","0.00","9","30.01","2.62"
"100-351&S","100-Streetcar - OTR - Banks","7","21.67","3.45","0","0.00","0.00","0","0.00","0.00"
"100-365&S","100-Streetcar - OTR - Banks","0","0.00","0.00","7","21.67","3.45","7","21.67","3.45"
"11-348&L","11-Madison Road - Erie Avenu","39","413.50","30.35","0","0.00","0.00","0","0.00","0.00"
"11-362&L","11-Madison Road - Erie Avenu","0","0.00","0.00","39","413.51","30.35","0","0.00","0.00"
"11-367&L","11-Madison Road - Erie Avenu","0","0.00","0.00","0","0.00","0.00","39","413.51","30.35"
"12&T","12-Bellevue/Dayton","10","41.31","4.50","10","41.31","4.50","10","41.31","4.50"
"12-348&L","12-Madisonville - Commuter","2","17.65","1.23","0","0.00","0.00","0","0.00","0.00"
"12-362&L","12-Madisonville - Commuter","0","0.00","0.00","2","17.65","1.23","0","0.00","0.00"
"12-367&L","12-Madisonville - Commuter","0","0.00","0.00","0","0.00","0.00","2","17.65","1.23"
"14-367&L","14-Northside - Central Pkwy","0","0.00","0.00","0","0.00","0.00","16","50.21","3.47"
"15-367&L","15-Spring Grove Ave","0","0.00","0.00","0","0.00","0.00","19","78.36","5.40"
"16&T","16-West Newport/Fort Thomas","8","29.95","2.80","8","29.95","2.80","8","29.95","2.80"
"16-348&L","16-Mt Healthy - Northgate","18","322.31","22.68","0","0.00","0.00","0","0.00","0.00"
"16-362&L","16-Mt Healthy - Northgate","0","0.00","0.00","18","322.31","22.68","0","0.00","0.00"
"16-367&L","16-Mt Healthy - Northgate","0","0.00","0.00","0","0.00","0.00","21","259.23","16.47"
"17-348&L","17-Hamilton Avenue","45","548.34","40.35","0","0.00","0.00","0","0.00","0.00"
"17-362&L","17-Hamilton Avenue","0","0.00","0.00","46","561.98","41.14","0","0.00","0.00"
"17-367&L","17-Clifton Ave","0","0.00","0.00","0","0.00","0.00","10","59.33","5.67"
"17X&T","17X-Buttermilk Pike Express","3","17.15","1.05","3","17.15","1.05","3","17.15","1.05"
"18-367&L","18-Hamilton Avenue","0","0.00","0.00","0","0.00","0.00","11","123.20","9.17"
"19-348&L","19-Colerain Avenue","21","290.03","21.95","0","0.00","0.00","0","0.00","0.00"
"19-362&L","19-Colerain Avenue","0","0.00","0.00","21","290.37","21.95","0","0.00","0.00"
"19-367&L","19-Colerain Avenue","0","0.00","0.00","0","0.00","0.00","28","230.35","14.70"
"2-348&L","2-Madeira - Commuter","3","39.39","2.05","0","0.00","0.00","0","0.00","0.00"
"2-362&L","2-Madeira - Commuter","0","0.00","0.00","3","39.39","2.05","0","0.00","0.00"
"2-367&L","2-Madeira - Commuter","0","0.00","0.00","0","0.00","0.00","3","39.39","2.05"
"20-348&L","20-Winton Rd - Forest Park","16","258.42","17.13","0","0.00","0.00","0","0.00","0.00"
"20-362&L","20-Winton Rd - Forest Park","0","0.00","0.00","16","258.08","17.13","0","0.00","0.00"
"20-367&L","20-Winton Road","0","0.00","0.00","0","0.00","0.00","15","168.69","11.13"
"21-348&L","21-Westwood - Harrison Avenu","30","306.28","24.73","0","0.00","0.00","0","0.00","0.00"
"21-362&L","21-Westwood - Harrison Avenu","0","0.00","0.00","30","306.53","24.73","0","0.00","0.00"
"21-367&L","21-Westwood - Harrison Avenu","0","0.00","0.00","0","0.00","0.00","30","306.53","24.73"
"22-362&L","22-Crosstown: Glenway - Madi","0","0.00","0.00","5","79.44","6.67","0","0.00","0.00"
"22-367&L","22-Crosstown: Glenway - Madi","0","0.00","0.00","0","0.00","0.00","5","79.44","6.67"
"22X&T","22X-Mt. Zion Rd Express","3","36.27","1.50","3","36.27","1.50","3","36.27","1.50"
"23X-349&E","23X-Tri - County - Forest Pa","8","151.62","5.85","0","0.00","0.00","0","0.00","0.00"
"23X-363&E","23X-Tri - County - Forest Pa","0","0.00","0.00","8","151.62","5.85","8","151.62","5.85"
"24&T","NKU Shuttle-NKU Shuttle","8","19.19","1.60","8","19.19","1.60","8","19.19","1.60"
"24-348&L","24-MLK / Beechmont","17","257.81","15.03","0","0.00","0.00","0","0.00","0.00"
"24-362&L","24-Beechmont - MLK","0","0.00","0.00","23","353.64","17.57","0","0.00","0.00"
"24-367&L","24-Beechmont - MLK","0","0.00","0.00","0","0.00","0.00","23","353.64","17.57"
"25&T","25-NKU/Alexandria","19","238.60","14.87","19","238.60","14.87","19","238.60","14.87"
"25-348&L","25-Mt Lookout - Hyde Park -","2","20.52","1.28","0","0.00","0.00","0","0.00","0.00"
"25-362&L","25-Mt Lookout - Hyde Park -","0","0.00","0.00","2","20.52","1.28","0","0.00","0.00"
"25-367&L","25-Mt Lookout - Hyde Park -","0","0.00","0.00","0","0.00","0.00","2","20.52","1.28"
"25X&T","25X-Alexandria Express","3","30.05","1.60","3","30.05","1.60","3","30.05","1.60"
"27-348&L","27-Northside - Casey","19","159.29","12.15","0","0.00","0.00","0","0.00","0.00"
"27-362&L","27-Northside - Casey","0","0.00","0.00","19","160.44","12.15","0","0.00","0.00"
"27-367&L","27-Beekman - Ivorydale","0","0.00","0.00","0","0.00","0.00","19","224.14","17.57"
"28-348&L","28-Madisonville - East End","13","155.50","8.13","0","0.00","0.00","0","0.00","0.00"
"28-362&L","28-Madisonville - East End","0","0.00","0.00","13","155.50","8.13","0","0.00","0.00"
"28-367&L","28-Madisonville - East End","0","0.00","0.00","0","0.00","0.00","13","155.50","8.13"
"29X-349&E","29X-Milford Express","7","107.63","4.58","0","0.00","0.00","0","0.00","0.00"
"29X-363&E","29X-Milford Express","0","0.00","0.00","7","107.63","4.58","7","107.63","4.58"
"2X&T","2X-Airporter","18","218.55","11.33","18","218.55","11.33","18","218.55","11.33"
"3&T","3-Ludlow/Bromley","8","40.13","3.33","8","40.13","3.33","8","40.13","3.33"
"30-348&L","30-Beechmont - 8 Mile - Comm","8","96.03","4.55","0","0.00","0.00","0","0.00","0.00"
"30-362&L","30-Beechmont - 8 Mile - Comm","0","0.00","0.00","8","96.03","4.55","0","0.00","0.00"
"30-367&L","30-Beechmont - 8 Mile - Comm","0","0.00","0.00","0","0.00","0.00","8","96.03","4.55"
"30X&T","30X-Fort Wright/Lake Park Dr","5","28.36","2.07","5","28.36","2.07","5","28.36","2.07"
"31-348&L","31-Crosstown: West End - Eva","30","266.76","20.67","0","0.00","0.00","0","0.00","0.00"
"31-362&L","31-Crosstown: West End - Eva","0","0.00","0.00","30","266.76","20.67","0","0.00","0.00"
"31-367&L","31-Crosstown: West End - Eva","0","0.00","0.00","0","0.00","0.00","30","266.76","20.67"
"32-348&L","32-Price Hill - Delhi - Sayl","23","285.21","18.77","0","0.00","0.00","0","0.00","0.00"
"32-362&L","32-Price Hill - Delhi - Sayl","0","0.00","0.00","23","285.21","18.77","0","0.00","0.00"
"32-367&L","32-Price Hill - Delhi - Sayl","0","0.00","0.00","0","0.00","0.00","23","285.21","18.77"
"32X&T","32X-Burlington Express","4","51.31","1.97","4","51.31","1.97","4","51.31","1.97"
"33-348&L","33-Glenway Avenue","38","328.30","30.40","0","0.00","0.00","0","0.00","0.00"
"33-362&L","33-Glenway Avenue","0","0.00","0.00","38","329.39","30.67","0","0.00","0.00"
"33-367&L","33-Glenway Avenue","0","0.00","0.00","0","0.00","0.00","38","329.39","30.67"
"352&T","Holmes HS #3 PM-Holmes #3 PM","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"36-362&L","36-Crosstown: Price Hill - U","0","0.00","0.00","16","214.17","16.33","0","0.00","0.00"
"36-367&L","36-Crosstown: Price Hill - U","0","0.00","0.00","0","0.00","0.00","16","214.17","16.33"
"37-348&L","37-Crosstown: Glenway - MLK","15","232.60","16.75","0","0.00","0.00","0","0.00","0.00"
"37-362&L","37-Westwood Northern - Madis","0","0.00","0.00","28","439.87","30.67","0","0.00","0.00"
"37-367&L","37-Westwood Northern - Madis","0","0.00","0.00","0","0.00","0.00","28","439.87","30.67"
"3701&T","Southbank Shuttle-Southbank","28","114.89","13.53","28","114.89","13.53","28","114.89","13.53"
"38-348&L","38-Glenway Crossing- Uptown","4","42.72","3.07","0","0.00","0.00","0","0.00","0.00"
"38-362&L","38-Glenway Crossing- Uptown","0","0.00","0.00","4","42.72","3.07","0","0.00","0.00"
"38-367&L","38-Glenway Crossing- Uptown","0","0.00","0.00","0","0.00","0.00","4","42.72","3.07"
"39X&T","39X-Petersburg Rd/South Hebr","12","166.53","7.80","12","166.53","7.80","12","166.53","7.80"
"3X-349&E","3X-Montgomery Express - Job","8","124.73","5.62","0","0.00","0.00","0","0.00","0.00"
"3X-363&E","3X-Montgomery Express - Job","0","0.00","0.00","8","124.73","5.62","8","124.73","5.62"
"4-348&L","4-Montgomery Rd","31","463.41","33.45","0","0.00","0.00","0","0.00","0.00"
"4-362&L","4-Montgomery Rd","0","0.00","0.00","31","463.41","33.45","0","0.00","0.00"
"4-367&L","4-Montgomery Rd","0","0.00","0.00","0","0.00","0.00","31","463.41","33.45"
"40-348&L","40-Montana Avenue - Commuter","4","43.69","2.23","0","0.00","0.00","0","0.00","0.00"
"40-362&L","40-Montana Avenue - Commuter","0","0.00","0.00","4","43.75","2.23","0","0.00","0.00"
"40-367&L","40-Montana Avenue - Commuter","0","0.00","0.00","0","0.00","0.00","4","43.75","2.23"
"40X&T","40X-Worldwide Blvd/North Heb","14","204.40","10.97","14","204.40","10.97","14","204.40","10.97"
"41-348&L","41-Crosstown: Westwood - Oak","22","459.27","28.52","0","0.00","0.00","0","0.00","0.00"
"41-362&L","41-Crosstown: Westwood - Oak","0","0.00","0.00","22","459.51","28.65","0","0.00","0.00"
"41-367&L","41-Crosstown: Westwood - Oak","0","0.00","0.00","0","0.00","0.00","22","459.51","28.65"
"412&T","Newport HS #2 AM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"42X&T","42X-Florence Hub/Industrial","10","162.89","7.33","10","162.89","7.33","10","162.89","7.33"
"42X-350&C","42X-West Chester Express","7","146.07","4.72","0","0.00","0.00","0","0.00","0.00"
"43-348&L","43-Reading Road","39","563.03","38.48","0","0.00","0.00","0","0.00","0.00"
"43-362&L","43-Reading - Paddock - Wayne","0","0.00","0.00","22","338.20","27.87","0","0.00","0.00"
"43-367&L","43-Reading - Paddock - Wayne","0","0.00","0.00","0","0.00","0.00","22","338.20","27.87"
"44-362&L","44-Upper Reading Road","0","0.00","0.00","20","225.58","15.00","0","0.00","0.00"
"44-367&L","44-Upper Reading Road","0","0.00","0.00","0","0.00","0.00","20","225.57","15.00"
"450&T","Holmes HS #2 PM-Holmes HS #2","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"451&T","Holmes HS #2 AM-Holmes HS #2","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"46-348&L","46-Avondale - Winton Hills","18","231.78","18.43","0","0.00","0.00","0","0.00","0.00"
"46-362&L","46-Uptown - Winton Terrace","0","0.00","0.00","17","197.75","17.57","0","0.00","0.00"
"46-367&L","46-Uptown - Winton Terrace","0","0.00","0.00","0","0.00","0.00","17","197.75","17.57"
"47-362&L","47-Mitchell Avenue","0","0.00","0.00","17","160.35","11.90","0","0.00","0.00"
"47-367&L","47-Mitchell Avenue","0","0.00","0.00","0","0.00","0.00","17","160.35","11.90"
"485&T","Holmes HS #5 PM-Holmes HS #5","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"49-348&L","49-Fairmount - English Woods","16","97.57","8.18","0","0.00","0.00","0","0.00","0.00"
"49-362&L","49-Fairmount - English Woods","0","0.00","0.00","16","98.59","8.18","0","0.00","0.00"
"49-367&L","49-Fairmount - English Woods","0","0.00","0.00","0","0.00","0.00","16","98.59","8.18"
"5&T","5-Holman Ave/Fort Wright","9","85.59","7.50","9","85.59","7.50","9","85.59","7.50"
"5-348&L","5-Crosstown: Oakley - Sharon","16","220.09","14.52","0","0.00","0.00","0","0.00","0.00"
"5-362&L","5-Crosstown: Oakley - Sharon","0","0.00","0.00","15","195.43","13.90","0","0.00","0.00"
"5-367&L","5-Crosstown: Oakley - Sharon","0","0.00","0.00","0","0.00","0.00","15","195.43","13.90"
"50-348&L","50-River Road - Sayler Park","6","84.74","3.77","0","0.00","0.00","0","0.00","0.00"
"50-362&L","50-River Road - Sayler Park","0","0.00","0.00","6","84.74","3.77","0","0.00","0.00"
"50-367&L","50-River Road - Sayler Park","0","0.00","0.00","0","0.00","0.00","6","84.74","3.77"
"51-348&L","51-Crosstown: Glenway - Hyde","22","390.41","29.38","0","0.00","0.00","0","0.00","0.00"
"51-362&L","51-Crosstown: Glenway - Hyde","0","0.00","0.00","22","390.28","29.38","0","0.00","0.00"
"51-367&L","51-Crosstown: Glenway - Hyde","0","0.00","0.00","0","0.00","0.00","22","390.28","29.38"
"511&T","Newport HS #1 PM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"512&T","Newport HS #2 PM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"52X-349&E","52X-Harrison Express","3","61.11","1.78","0","0.00","0.00","0","0.00","0.00"
"52X-363&E","52X-Harrison Express","0","0.00","0.00","3","61.11","1.78","3","61.11","1.78"
"552&T","Holmes HS #1 AM-Holmes HS #1","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"553&T","Holmes HS #6 PM-Holmes HS #6","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"554&T","Holmes HS #5 AM-Holmes HS #5","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
