Table     4.02
 
*** WEEKDAY INCREMENTAL LINKED TRANSIT TRIPS (All Transit/All car HH) (VS. NO-BUILD) ***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
All Purposes All Transit All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
EPric        -1       -1        0        0        0        0        0        0        0        6        0       -6        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1       -2        0        0        0        0        0        0        0        0       -1
Delhi         1        0        0       -1        0        0        0        0        0        0        0       -3        0        0        2        4        0        0        4        0        0        0        0        0        0        0        0        0       -1        0       -1        3        1        0        0       16        0        0        0        0        0        0       26
westw         2        1        0        0        1        2        1        0        0        1        1        4        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0       -2        3        0        0        0       13        0        0        0        0        0        0       33
Upper         5        1        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0       -4        0        0        0        0        0        0        8
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Kentu         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        1       -1       -1        0        0        4        0        0        0        0        0        0        6
Devou         0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        1       -2        0        0        0        0        0        0        0        0        0        2
EastE         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        1        0        0        0        0        0        0        3
airpo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total        83       59       -3      -15      -18       31       13       -2       13       72       29       18        3        2        6       28       11       -2      163        0       -1        0        0        0        1        3        0        0       -2        0        1      -15       59       -1        4       94        0        5        6        8        5        0      656

