Table   769.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/All car HH)***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
Home-Based Work All Fixed Guideway All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
Monfo         2        3        0       12       12       10        5        2        2        9        4        0        0        0        0        3        0        0       26        0        0        0        0        0        0        0        0        0        1        0        0        5        1        0        0       17        0        0        0        0        2        0      118
MtAir         5        5        0        0        2        2        3        0        0        1        0        0        0        0        2        4        0        0       11        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        8        0       15        0        3        1        0       63
EPric         0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        6
Delhi         1        0        0        0        0        0        1        0        0        1        0        0        0        0        3        1        0        0       11        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        7        0        0        0        0        0        0       26
westw         1        2        0        1        2        3        2        0        1        1        0        0        0        0        0        0        0        0       19        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0       18        0        0        0        0        0        0       52
Upper        10        4        0        9        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0       31
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Kentu         0        0        0        0        0        0        0        0        0        1        2        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        7        1        0        0        0        3        0        0        0        0        0        0       17
Devou         0        0        0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5
EastE         0        0        0        0        0        0        0        0        0        0        2        1        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        2        0        0        0        0        0        0       10
airpo         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       282      314        5       33       44       72       50        8       26      155      112       25        4        4       32       59       22        1      215        2        5        0        2        1        3       15        0        0        3        0       29       34       30        8       12      387        0       25       15       18       40        0     2094

