Table   958.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/0 car HH)***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
All Purposes All Fixed Guideway All Access 0 car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
Monfo        36       19        1       14        0       13        5        1        3       11        2        1        0        0        0        5        0        0       21        0        0        0        0        0        0        0        0        0        1        0        1        3        3        0        0        5        0        2        0        1        3        0      150
MtAir         5        7        0        0        0        0        4        0        0        0        0        0        0        0        3        4        0        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       28        0        5        1        0       71
EPric         0        0        0        0        0        0        0        0        0        7        0        0        0        0        1        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       11
Delhi         1        1        0        0        0        0        0        0        0        1        2        1        0        0        5        7        0        0        7        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        7        0        0        0        0        0        0       34
westw         1        1        0        0        0        0        0        0        1        1        0        0        0        0        0        1        1        0        9        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        1        0        2        0        0        0        0       22
Upper        20        9        0        0        0        1        0        1        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        8        0        1        0        1        0        0       44
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Kentu         0        0        0        0        0        0        0        0        0        1        4        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        6        1        0        0        0        2        0        0        0        0        0        0       17
Devou         0        0        0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
EastE         0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        1        0        0        0        0        0        0        7
airpo         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       328      321        7       29       13      156       66        8       25      296      237       31        4        3       72       98       28        1      253        1        3        0        0        0        3       16        0        0        2        0       41      104       48       10       16      260        0       45       19       24       32        0     2598

Table   958.03
 
