,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
32,EPric,1,0,0,0,0,0,0,0,0,11,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
33,Delhi,3,2,0,1,0,0,1,0,0,2,3,3,0,0,5,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,17,0,0,0,0,0,0,71
34,westw,13,5,0,1,2,4,3,0,1,2,1,0,0,0,0,2,1,0,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,26,0,3,0,0,0,0,96
35,Upper,51,17,0,22,0,1,0,1,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,0,2,0,1,0,0,134
36,N_Bou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Kentu,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,6,0,0,0,0,0,0,30
38,Devou,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
39,EastE,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,20
40,airpo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
41,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Total,790,705,17,71,83,189,117,17,77,537,322,115,8,10,77,173,43,2,376,3,7,0,7,1,6,31,0,0,5,0,62,190,86,22,24,900,0,53,21,25,47,0,5220
