,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
24,Norwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
25,Oakle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,West,3,1,0,0,0,0,2,0,0,2,1,3,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,5,0,0,0,0,0,0,38
29,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Monfo,-4,3,0,0,-8,-3,0,-2,0,3,3,1,0,0,1,3,0,0,16,0,0,0,0,0,-1,-2,0,0,1,0,4,-25,-2,0,0,7,0,1,0,0,0,0,-4
31,MtAir,4,2,0,3,1,1,1,0,0,0,-3,1,0,0,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,-3,5,0,-1,0,2,0,0,48
32,EPric,-1,-1,0,0,0,0,0,0,0,6,0,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,-1
33,Delhi,1,0,0,-1,0,0,0,0,0,0,0,-3,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,-1,0,-1,3,1,0,0,16,0,0,0,0,0,0,26
34,westw,2,1,0,0,1,2,1,0,0,1,1,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,3,0,0,0,13,0,0,0,0,0,0,33
35,Upper,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-4,0,0,0,0,0,0,8
36,N_Bou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Kentu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,4,0,0,0,0,0,0,6
38,Devou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,2
39,EastE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
40,airpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Total,83,59,-3,-15,-18,31,13,-2,13,72,29,18,3,2,6,28,11,-2,163,0,-1,0,0,0,1,3,0,0,-2,0,1,-15,59,-1,4,94,0,5,6,8,5,0,656
