,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
0,Downt,4,0,0,0,7,0,0,1,0,0,0,-6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,7
1,Downt,7,16,0,0,0,0,0,0,0,-23,0,-1,0,0,-57,0,0,0,-33,0,0,0,0,0,0,-1,0,0,14,0,0,5,0,0,0,-8,0,0,0,0,0,0,-79
2,West,2,1,1,1,2,-3,-6,0,1,-3,8,16,0,0,0,-7,2,0,-28,0,25,0,1,1,0,1,0,0,0,0,6,0,-4,0,0,-41,0,-3,0,0,0,0,-27
3,Lower,8,3,0,7,1,-1,0,0,0,3,-5,1,0,0,0,-3,0,0,6,0,0,0,0,0,0,3,0,0,-21,0,1,0,-2,0,0,15,0,1,0,0,-2,0,12
4,MtAub,22,5,0,12,2,0,6,0,0,-5,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,2,0,1,5,0,72
5,Corry,-5,-1,0,0,0,-1,0,0,0,0,-24,-17,0,0,0,-16,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-4,0,-1,0,-5,0,-1,0,0,0,0,-74
6,UCMed,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,2,0,0,0,0,0,0,0,0,0,10
7,MtAda,0,0,1,-1,5,0,0,0,0,1,-2,66,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,75
8,Walnu,-1,0,1,2,1,0,0,0,0,-34,0,-8,0,0,1,-2,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0,0,-1,0,0,0,0,0,0,-47
9,Clift,-89,-27,-4,-4,6,1,-4,0,-45,-12,-16,-2,-1,0,-21,0,-4,-1,-32,-1,-2,0,0,0,0,1,0,0,4,0,43,0,0,-1,-1,-8,0,-2,-2,-1,-19,0,-244
10,North,-51,-161,10,-3,34,-63,2,-1,23,-11,23,-27,0,0,-2,-4,-7,0,-42,0,-3,0,7,0,0,0,0,0,0,0,-18,19,-1,9,1,-23,0,-7,-7,0,-10,0,-313
11,Winto,28,37,3,2,1,0,0,14,0,-2,-8,-15,0,0,0,0,-3,-2,-51,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,4,0,8,0,2,14,0,11,0,43
12,BondH,0,0,0,0,0,0,0,0,0,-10,-1,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,-8
13,Xavie,0,0,0,2,0,0,0,0,0,-4,-1,0,0,0,-5,-3,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,-1,0,0,0,0,0,0,-22
14,Finne,-375,-385,1,0,-46,-37,-37,-10,-29,-52,-4,-27,0,-6,11,-15,-5,8,-44,-1,2,0,1,-1,-2,-47,0,0,0,0,1,-4,-78,-12,-28,-177,0,-38,-13,-76,-59,0,-1581
15,Colle,-423,-152,-7,0,-22,-52,-15,0,-4,-11,-66,-1,-4,-9,2,0,-12,0,-48,-3,-2,0,11,0,-2,-13,0,0,-3,0,-2,-18,-34,-11,-1,-161,0,-4,-57,-23,-3,0,-1149
16,Amber,-3,-16,0,-1,1,0,1,-1,2,-3,-3,0,0,0,1,-3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,-14,-100,0,-5,-5,0,0,0,0,-2,0,-141
17,Wethe,0,0,0,0,-1,0,0,0,0,1,0,-4,0,0,0,-1,0,0,-13,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,2,0,0,0,0,0,0,13
18,Green,-264,-135,-26,-8,-20,-43,-77,-2,-3,-8,-50,-66,-14,2,-7,-11,-26,5,-269,2,2,0,-12,1,-5,-23,0,0,-9,0,-20,-133,-106,-26,-57,-164,0,-39,-12,-15,-17,0,-1658
19,Bethe,0,0,0,1,0,0,0,0,0,-3,-1,-6,0,0,1,-12,0,0,10,0,0,0,0,0,0,0,0,0,5,0,-1,0,0,0,0,-4,0,0,0,0,0,0,-10
20,Kenwo,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-9,0,0,0,0,0,0,0,0,0,1,0,0,0,-3,0,0,-9,0,0,0,0,0,0,-24
21,Milfo,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,-3
22,HydeP,0,0,0,0,0,0,0,0,0,0,-8,-3,0,0,0,0,0,1,-8,0,0,0,0,0,0,0,0,0,1,0,8,0,-2,0,0,1,0,0,0,0,0,0,-11
23,Fores,0,0,0,-1,0,0,0,0,0,3,-1,-2,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,2,1,0,0,2,0,0,0,0,0,0,9
24,Norwo,2,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,-12,-2,0,0,0,0,0,0,0,0,0,-26
25,Oakle,0,-1,3,-1,0,-1,0,0,0,-2,-1,0,0,0,0,-6,0,0,-24,0,0,0,0,0,0,0,0,0,-9,0,-3,-1,-2,0,0,2,0,0,0,0,0,0,-44
26,North,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-2
27,East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-2,0,0,0,0,0,0,1
28,West,-22,-10,0,2,-2,-5,-21,0,-1,-13,-8,-32,0,0,0,-4,-1,0,-36,-1,-1,0,-3,0,0,-1,0,0,2,0,0,-45,-13,-1,0,-46,0,-1,0,0,-2,0,-265
29,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1
