,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
30,Monfo,13,-42,-1,-6,114,48,23,36,1,-10,-4,-6,0,1,-1,-9,3,0,-103,0,0,0,5,0,7,38,0,0,-4,0,-3,197,14,-1,-2,-16,-2,-15,0,-4,-11,0,260
31,MtAir,-28,-8,-2,-8,-1,2,0,0,0,-1,1,-13,-2,0,-5,-12,-6,-1,-47,0,0,0,-7,1,0,0,0,0,0,0,0,1,-145,0,21,-4,0,8,0,-32,-2,0,-289
32,EPric,3,3,1,0,0,-1,0,1,0,-28,0,46,-1,0,-1,-4,-3,-1,-4,1,0,0,1,0,0,0,0,0,0,0,0,0,-4,18,0,-1,0,1,0,0,0,0,29
33,Delhi,3,3,0,5,-4,0,-3,0,0,3,-3,36,0,0,-24,-33,1,0,-58,0,0,0,0,0,0,-1,0,0,21,0,16,-8,-7,0,0,-87,0,1,0,0,0,0,-139
34,westw,-5,3,0,0,1,2,1,0,-1,-2,-1,-40,-1,0,-1,-3,-5,1,-7,0,-3,0,1,0,0,0,0,0,0,0,10,-3,2,0,0,20,0,-3,0,-1,0,0,-36
35,Upper,-19,-5,0,-7,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,-2,0,-1,0,0,0,0,-3,0,0,-4,0,2,0,-7,0,0,1,0,-1,-1,-3,-1,0,-52
36,N_Bou,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,6
37,Kentu,1,0,0,-2,-1,0,0,0,0,-2,-7,-2,0,0,0,0,0,0,-20,0,0,0,0,0,-2,0,0,0,9,0,-5,5,4,0,0,-21,0,0,0,0,0,0,-42
38,Devou,0,0,2,0,-2,-2,0,0,0,-3,0,-15,0,0,1,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,1,-7,7,0,0,0,0,0,0,0,0,0,-29
39,EastE,1,0,0,-1,-2,-2,0,0,0,0,-7,3,0,0,0,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,-4,0,0,0,-6,0,0,0,0,0,0,-16
40,airpo,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,4,0,-3,0,-5,0,0,0,0,0,0,0,0,0,2,0,-1,-1,2,0,0,-10,0,0,0,0,0,0,-14
41,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Total,-1191,-871,-18,-5,77,-158,-129,38,-57,-233,-193,-128,-23,-12,-104,-168,-69,13,-906,-5,18,0,3,2,-4,-45,0,0,43,0,68,16,-479,-24,-70,-751,-2,-97,-78,-156,-111,0,-5809
