Table   958.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/0 car HH)***
District to District MODEL Summary for Scenario  3: Y2023 BUILD                             
All Purposes All Fixed Guideway All Access 0 car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
Monfo        38       21        1       12        1       13        5        1        3        9        2        1        0        0        0        5        0        0       19        0        0        0        0        0        0        0        0        0        0        0        1        3        3        0        0        4        0        2        0        1        3        0      149
MtAir         5        7        0        0        0        0        3        0        0        0        0        0        0        0        3        4        0        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       39        0        4        1        0       82
EPric         0        0        0        0        0        0        0        0        0        6        0        0        0        0        1        2        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       10
Delhi         1        1        0        0        0        0        0        0        0        1        2        1        0        0        5        6        0        0        6        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        7        0        0        0        0        0        0       32
westw         1        1        0        0        0        0        0        0        1        1        0        0        0        0        0        1        1        0        9        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        1        0        2        0        0        0        0       21
Upper        21        9        0        0        0        1        0        1        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        6        0        1        0        1        0        0       43
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Kentu         0        0        0        0        0        0        0        0        0        1        4        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        6        1        0        0        0        3        0        0        0        0        0        0       16
Devou         0        0        0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
EastE         0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        2        0        0        0        0        0        0        8
airpo         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       358      346        7       26       14      179       62        8       23      241      252       38        5        4       83       91       33        1      239        1        4        0        0        0        3       15        0        0        1        0       42      120       56       10       17      197        0       56       18       23       35        0     2609

