Table   769.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/All car HH)***
District to District MODEL Summary for Scenario  3: Y2023 BUILD                             
Home-Based Work All Fixed Guideway All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
Monfo         2        3        0       10       14       10        5        3        2        7        4        1        0        0        0        3        0        0       25        0        0        0        0        0        0        0        0        0        0        0        0        6        1        0        0       13        0        0        0        0        2        0      114
MtAir         5        5        0        0        2        1        2        0        0        1        0        0        0        0        2        4        0        0       11        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        6        0       21        0        3        1        0       66
EPric         0        0        0        0        0        0        0        0        0        2        0        0        0        0        1        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5
Delhi         1        0        0        0        0        0        0        0        0        0        0        0        0        0        3        1        0        0        9        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        6        0        0        0        0        0        0       23
westw         1        2        0        1        2        3        2        0        1        1        0        0        0        0        0        0        0        0       17        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0       11        0        0        0        0        0        0       42
Upper        11        4        0       10        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        3        0        0        0        1        0        0       33
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Kentu         0        0        0        0        0        0        0        0        0        1        2        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        7        1        0        0        0        4        0        0        0        0        0        0       16
Devou         0        0        0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4
EastE         0        0        0        0        0        0        0        0        0        0        2        1        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        2        0        0        0        0        0        0       10
airpo         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       311      331        5       33       49       79       48        9       26      123      118       31        5        5       37       55       25        1      203        2        5        0        2        1        3       15        0        0        2        0       30       40       36        7       13      304        0       32       13       17       44        0     2059

