"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"Table","021.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Fix","d Guidew","y/All ca","HH)***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2023 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Fixed Gu","deway Al","Access","ll car H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Downt","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","14"
"Downt","0","3","0","0","0","0","0","0","0","16","0","2","0","0","32","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","26","0","0","0","14","0","0","0","0","0","0","99"
"West","0","0","1","0","0","0","0","0","0","5","9","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","66"
"Lower","1","0","0","2","0","0","0","0","0","1","4","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","0","0","0","0","0","0","28"
"MtAub","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","24"
"Corry","0","0","0","0","0","0","0","0","0","0","32","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","3","0","0","0","0","0","0","56"
"UCMed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","9"
"MtAda","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","9"
"Walnu","0","0","0","1","0","0","0","0","0","31","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","43"
"Clift","60","34","3","11","9","24","7","2","27","30","44","6","1","0","19","0","5","0","13","0","2","0","2","0","0","1","0","0","0","0","10","1","1","0","0","192","0","1","1","1","7","0","516"
"North","116","337","4","4","14","118","37","2","7","148","2","9","0","1","1","15","7","0","23","0","1","0","1","0","0","1","0","0","0","0","4","26","13","6","3","110","0","2","1","0","7","0","1024"
"Winto","8","9","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","18","0","1","5","0","3","0","64"
"BondH","0","0","0","0","0","0","0","0","0","13","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","58"
"Xavie","0","2","0","0","0","0","0","0","0","5","2","0","0","0","3","7","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","30"
"Finne","177","168","1","2","18","12","17","4","9","32","10","57","0","3","3","52","16","0","113","0","0","0","0","0","1","13","0","0","0","0","4","4","18","3","9","86","0","9","2","12","10","0","867"
"Colle","225","80","2","0","13","26","15","0","16","71","179","13","1","7","10","6","13","0","13","1","3","0","0","0","1","9","0","0","0","0","7","43","28","7","1","79","0","1","10","3","11","0","893"
"Amber","2","6","1","1","1","0","0","0","0","1","6","0","0","0","0","2","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","11","0","2","7","0","0","0","0","1","0","53"
"Wethe","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Green","71","35","4","4","4","5","10","1","7","2","15","13","6","0","7","15","4","1","42","0","0","0","3","0","3","5","0","0","1","0","8","19","19","2","9","28","0","3","0","1","7","0","351"
"Bethe","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Kenwo","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","11"
"Milfo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"HydeP","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8"
"Fores","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3"
"Norwo","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Oakle","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","15"
"North","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West","6","2","0","0","1","1","2","0","0","3","2","6","0","0","0","1","0","0","4","0","0","0","1","0","0","0","0","0","0","0","1","6","2","0","0","6","0","0","0","0","0","0","46"
"India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monfo","94","38","1","16","24","20","12","7","4","14","8","5","0","0","0","11","0","0","35","0","0","0","0","0","0","1","0","0","1","0","1","20","5","0","1","22","0","3","0","1","4","0","348"
"MtAir","17","11","0","0","4","2","6","1","0","1","4","0","0","0","3","9","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","40","0","5","1","0","130"
"EPric","1","0","0","0","0","0","0","0","0","10","0","2","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"Delhi","3","2","0","1","1","0","0","0","0","1","3","3","0","0","6","9","0","0","13","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","15","0","0","0","0","0","0","65"
"westw","13","5","0","1","3","3","3","0","1","1","1","0","0","0","0","1","1","0","23","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","16","0","2","0","0","0","0","82"
"Upper","53","17","0","24","0","1","0","1","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","19","0","2","0","1","0","0","133"
"N_Bou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kentu","1","0","0","0","0","0","0","0","0","1","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","3","0","0","0","7","0","0","0","0","0","0","29"
"Devou","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"EastE","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","5","0","0","0","0","0","0","21"
"airpo","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","856","752","19","70","93","214","110","18","72","416","338","143","10","11","87","159","50","2","357","2","8","0","7","1","6","32","0","0","4","0","63","221","100","21","25","717","0","65","19","24","52","0","5143"
"Table","021.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Fix","d Guidew","y/All ca","HH)***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2023 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Fixed Gu","deway Al","Access","ll car H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
