,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
18,16-367&L                 --16-Mt Healthy - Northgate,0,0.00,0.00,0,0.00,0.00,21,259.23,16.47
19,17-348&L                 --17-Hamilton Avenue,45,548.34,40.35,0,0.00,0.00,0,0.00,0.00
20,17-362&L                 --17-Hamilton Avenue,0,0.00,0.00,46,561.98,41.14,0,0.00,0.00
21,17-367&L                 --17-Clifton Ave,0,0.00,0.00,0,0.00,0.00,10,59.33,5.67
22,17X&T                    --17X-Buttermilk Pike Express,3,17.15,1.05,3,17.15,1.05,3,17.15,1.05
23,18-367&L                 --18-Hamilton Avenue,0,0.00,0.00,0,0.00,0.00,11,123.20,9.17
24,19-348&L                 --19-Colerain Avenue,21,290.03,21.95,0,0.00,0.00,0,0.00,0.00
25,19-362&L                 --19-Colerain Avenue,0,0.00,0.00,21,290.37,21.95,0,0.00,0.00
26,19-367&L                 --19-Colerain Avenue,0,0.00,0.00,0,0.00,0.00,28,230.35,14.70
27,2-348&L                  --2-Madeira - Commuter,3,39.39,2.05,0,0.00,0.00,0,0.00,0.00
28,2-362&L                  --2-Madeira - Commuter,0,0.00,0.00,3,39.39,2.05,0,0.00,0.00
29,2-367&L                  --2-Madeira - Commuter,0,0.00,0.00,0,0.00,0.00,3,39.39,2.05
30,20-348&L                 --20-Winton Rd - Forest Park,16,258.42,17.13,0,0.00,0.00,0,0.00,0.00
31,20-362&L                 --20-Winton Rd - Forest Park,0,0.00,0.00,16,258.08,17.13,0,0.00,0.00
32,20-367&L                 --20-Winton Road,0,0.00,0.00,0,0.00,0.00,15,168.69,11.13
33,21-348&L                 --21-Westwood - Harrison Avenu,30,306.28,24.73,0,0.00,0.00,0,0.00,0.00
34,21-362&L                 --21-Westwood - Harrison Avenu,0,0.00,0.00,30,306.53,24.73,0,0.00,0.00
35,21-367&L                 --21-Westwood - Harrison Avenu,0,0.00,0.00,0,0.00,0.00,30,306.53,24.73
36,22-362&L                 --22-Crosstown: Glenway - Madi,0,0.00,0.00,5,79.44,6.67,0,0.00,0.00
37,22-367&L                 --22-Crosstown: Glenway - Madi,0,0.00,0.00,0,0.00,0.00,5,79.44,6.67
38,22X&T                    --22X-Mt. Zion Rd Express,3,36.27,1.50,3,36.27,1.50,3,36.27,1.50
39,23X-349&E                --23X-Tri - County - Forest Pa,8,151.62,5.85,0,0.00,0.00,0,0.00,0.00
40,23X-363&E                --23X-Tri - County - Forest Pa,0,0.00,0.00,8,151.62,5.85,8,151.62,5.85
41,24&T                     --NKU Shuttle-NKU Shuttle,8,19.19,1.60,8,19.19,1.60,8,19.19,1.60
42,24-348&L                 --24-MLK / Beechmont,17,257.81,15.03,0,0.00,0.00,0,0.00,0.00
43,24-362&L                 --24-Beechmont - MLK,0,0.00,0.00,23,353.64,17.57,0,0.00,0.00
44,24-367&L                 --24-Beechmont - MLK,0,0.00,0.00,0,0.00,0.00,23,353.64,17.57
45,25&T                     --25-NKU/Alexandria,19,238.60,14.87,19,238.60,14.87,19,238.60,14.87
46,25-348&L                 --25-Mt Lookout - Hyde Park -,2,20.52,1.28,0,0.00,0.00,0,0.00,0.00
47,25-362&L                 --25-Mt Lookout - Hyde Park -,0,0.00,0.00,2,20.52,1.28,0,0.00,0.00
48,25-367&L                 --25-Mt Lookout - Hyde Park -,0,0.00,0.00,0,0.00,0.00,2,20.52,1.28
49,25X&T                    --25X-Alexandria Express,3,30.05,1.60,3,30.05,1.60,3,30.05,1.60
50,27-348&L                 --27-Northside - Casey,19,159.29,12.15,0,0.00,0.00,0,0.00,0.00
51,27-362&L                 --27-Northside - Casey,0,0.00,0.00,19,160.44,12.15,0,0.00,0.00
52,27-367&L                 --27-Beekman - Ivorydale,0,0.00,0.00,0,0.00,0.00,19,224.14,17.57
53,28-348&L                 --28-Madisonville - East End,13,155.50,8.13,0,0.00,0.00,0,0.00,0.00
54,28-362&L                 --28-Madisonville - East End,0,0.00,0.00,13,155.50,8.13,0,0.00,0.00
55,28-367&L                 --28-Madisonville - East End,0,0.00,0.00,0,0.00,0.00,13,155.50,8.13
56,29X-349&E                --29X-Milford Express,7,107.63,4.58,0,0.00,0.00,0,0.00,0.00
57,29X-363&E                --29X-Milford Express,0,0.00,0.00,7,107.63,4.58,7,107.63,4.58
58,2X&T                     --2X-Airporter,18,218.55,11.33,18,218.55,11.33,18,218.55,11.33
59,3&T                      --3-Ludlow/Bromley,8,40.13,3.33,8,40.13,3.33,8,40.13,3.33
60,30-348&L                 --30-Beechmont - 8 Mile - Comm,8,96.03,4.55,0,0.00,0.00,0,0.00,0.00
61,30-362&L                 --30-Beechmont - 8 Mile - Comm,0,0.00,0.00,8,96.03,4.55,0,0.00,0.00
62,30-367&L                 --30-Beechmont - 8 Mile - Comm,0,0.00,0.00,0,0.00,0.00,8,96.03,4.55
63,30X&T                    --30X-Fort Wright/Lake Park Dr,5,28.36,2.07,5,28.36,2.07,5,28.36,2.07
64,31-348&L                 --31-Crosstown: West End - Eva,30,266.76,20.67,0,0.00,0.00,0,0.00,0.00
65,31-362&L                 --31-Crosstown: West End - Eva,0,0.00,0.00,30,266.76,20.67,0,0.00,0.00
66,31-367&L                 --31-Crosstown: West End - Eva,0,0.00,0.00,0,0.00,0.00,30,266.76,20.67
67,32-348&L                 --32-Price Hill - Delhi - Sayl,23,285.21,18.77,0,0.00,0.00,0,0.00,0.00
