"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2023","XISTING",,"Y2023","O-BUILD",,"Y2023","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"29X-349&E","29X-Milford Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"29X-363&E","29X-Milford Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"2X&T","2X-Airporter","20","242.86","12.50","20","242.86","12.50","20","242.86","12.50"
"3&T","3-Ludlow/Bromley","9","44.82","3.75","9","44.82","3.75","9","44.82","3.75"
"30-348&L","30-Beechmont - 8 Mile - Comm","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"30-362&L","30-Beechmont - 8 Mile - Comm","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"30-367&L","30-Beechmont - 8 Mile - Comm","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"30X&T","30X-Fort Wright/Lake Park Dr","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"31-348&L","31-Crosstown: West End - Eva","29","262.42","21.28","0","0.00","0.00","0","0.00","0.00"
"31-362&L","31-Crosstown: West End - Eva","0","0.00","0.00","29","262.42","21.28","0","0.00","0.00"
"31-367&L","31-Crosstown: West End - Eva","0","0.00","0.00","0","0.00","0.00","29","262.42","21.28"
"32-348&L","32-Price Hill - Delhi - Sayl","20","250.58","16.68","0","0.00","0.00","0","0.00","0.00"
"32-362&L","32-Price Hill - Delhi - Sayl","0","0.00","0.00","20","250.58","16.68","0","0.00","0.00"
"32-367&L","32-Price Hill - Delhi - Sayl","0","0.00","0.00","0","0.00","0.00","20","250.58","16.68"
"32X&T","32X-Burlington Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"33-348&L","33-Glenway Avenue","33","284.31","27.68","0","0.00","0.00","0","0.00","0.00"
"33-362&L","33-Glenway Avenue","0","0.00","0.00","33","285.17","27.80","0","0.00","0.00"
"33-367&L","33-Glenway Avenue","0","0.00","0.00","0","0.00","0.00","33","285.17","27.80"
"352&T","Holmes HS #3 PM-Holmes #3 PM","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"36-362&L","36-Crosstown: Price Hill - U","0","0.00","0.00","21","281.16","22.24","0","0.00","0.00"
"36-367&L","36-Crosstown: Price Hill - U","0","0.00","0.00","0","0.00","0.00","21","281.16","22.24"
"37-348&L","37-Crosstown: Glenway - MLK","1","15.62","1.05","0","0.00","0.00","0","0.00","0.00"
"37-362&L","37-Westwood Northern - Madis","0","0.00","0.00","27","422.24","29.45","0","0.00","0.00"
"37-367&L","37-Westwood Northern - Madis","0","0.00","0.00","0","0.00","0.00","27","422.24","29.45"
